ReferenceID,CellID,CellType,Variable,Material Used,Location in reference,Measurement Equation,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,pmid_isbn_page,Species,Strain,Sex,Age or Weight
901804,2036,Mossy Fiber-Associated SL,x45,"""A fully reconstructed representative IN [interneuron] is shown in Fig.
3b. The soma is located in stratum lucidum with dendrites
spanning all sublayers of the CA3 area. The main axons run
parallel with mossy fibers in stratum lucidum, emitting many
collaterals in strata lucidum and pyramidale, with significant
projections to the hilus. INs with similar axodendritic arborizations
have been described (12, 20), and we will refer to them as
mossy fiber-associated INs (MFA INs). Sixteen of 18 INs tested
showed similar anatomical properties <% 2035 %>. The remaining two INs <% 2036 %>
had axon arbors predominantly in stratum pyramidale, with
similar somatodendritic morphology and hilar axonal projections
to those described above. These two cells may be categorized as
basket cells. We also found that seven of eight tested cells were
immunopositive for the neuropeptide CCK (Fig. 3a).""","p1363, right bot",(x45+x46)/(x47+x48+x49) = 16/2 = 8,MFAorden/MFAs = 2/16 = 1/8,Losonczy et al; 14734812,,,,14734812,0,rats,Wistar,male,13-19 days old
901806,2036,Mossy Fiber-Associated SR,x46,"""A fully reconstructed representative IN [interneuron] is shown in Fig.
3b. The soma is located in stratum lucidum with dendrites
spanning all sublayers of the CA3 area. The main axons run
parallel with mossy fibers in stratum lucidum, emitting many
collaterals in strata lucidum and pyramidale, with significant
projections to the hilus. INs with similar axodendritic arborizations
have been described (12, 20), and we will refer to them as
mossy fiber-associated INs (MFA INs). Sixteen of 18 INs tested
showed similar anatomical properties <% 2035 %>. The remaining two INs <% 2036 %>
had axon arbors predominantly in stratum pyramidale, with
similar somatodendritic morphology and hilar axonal projections
to those described above. These two cells may be categorized as
basket cells. We also found that seven of eight tested cells were
immunopositive for the neuropeptide CCK (Fig. 3a).""","p1363, right bot",(x45+x46)/(x47+x48+x49) = 16/2 = 8,MFAorden/MFAs = 2/16 = 1/8,Losonczy et al; 14734812,,,,14734812,0,rats,Wistar,male,13-19 days old
901808,2035,Mossy Fiber-Associated ORDEN SO,x47,"""A fully reconstructed representative IN [interneuron] is shown in Fig.
3b. The soma is located in stratum lucidum with dendrites
spanning all sublayers of the CA3 area. The main axons run
parallel with mossy fibers in stratum lucidum, emitting many
collaterals in strata lucidum and pyramidale, with significant
projections to the hilus. INs with similar axodendritic arborizations
have been described (12, 20), and we will refer to them as
mossy fiber-associated INs (MFA INs). Sixteen of 18 INs tested
showed similar anatomical properties <% 2035 %>. The remaining two INs <% 2036 %>
had axon arbors predominantly in stratum pyramidale, with
similar somatodendritic morphology and hilar axonal projections
to those described above. These two cells may be categorized as
basket cells. We also found that seven of eight tested cells were
immunopositive for the neuropeptide CCK (Fig. 3a).""","p1363, right bot",(x45+x46)/(x47+x48+x49) = 16/2 = 8,MFAorden/MFAs = 2/16 = 1/8,Losonczy et al; 14734812,,,,14734812,0,rats,Wistar,male,13-19 days old
901810,2035,Mossy Fiber-Associated ORDEN SP,x48,"""A fully reconstructed representative IN [interneuron] is shown in Fig.
3b. The soma is located in stratum lucidum with dendrites
spanning all sublayers of the CA3 area. The main axons run
parallel with mossy fibers in stratum lucidum, emitting many
collaterals in strata lucidum and pyramidale, with significant
projections to the hilus. INs with similar axodendritic arborizations
have been described (12, 20), and we will refer to them as
mossy fiber-associated INs (MFA INs). Sixteen of 18 INs tested
showed similar anatomical properties <% 2035 %>. The remaining two INs <% 2036 %>
had axon arbors predominantly in stratum pyramidale, with
similar somatodendritic morphology and hilar axonal projections
to those described above. These two cells may be categorized as
basket cells. We also found that seven of eight tested cells were
immunopositive for the neuropeptide CCK (Fig. 3a).""","p1363, right bot",(x45+x46)/(x47+x48+x49) = 16/2 = 8,MFAorden/MFAs = 2/16 = 1/8,Losonczy et al; 14734812,,,,14734812,0,rats,Wistar,male,13-19 days old
901812,2035,Mossy Fiber-Associated ORDEN SL,x49,"""A fully reconstructed representative IN [interneuron] is shown in Fig.
3b. The soma is located in stratum lucidum with dendrites
spanning all sublayers of the CA3 area. The main axons run
parallel with mossy fibers in stratum lucidum, emitting many
collaterals in strata lucidum and pyramidale, with significant
projections to the hilus. INs with similar axodendritic arborizations
have been described (12, 20), and we will refer to them as
mossy fiber-associated INs (MFA INs). Sixteen of 18 INs tested
showed similar anatomical properties <% 2035 %>. The remaining two INs <% 2036 %>
had axon arbors predominantly in stratum pyramidale, with
similar somatodendritic morphology and hilar axonal projections
to those described above. These two cells may be categorized as
basket cells. We also found that seven of eight tested cells were
immunopositive for the neuropeptide CCK (Fig. 3a).""","p1363, right bot",(x45+x46)/(x47+x48+x49) = 16/2 = 8,MFAorden/MFAs = 2/16 = 1/8,Losonczy et al; 14734812,,,,14734812,0,rats,Wistar,male,13-19 days old
901814,2028,CA3 Axo-axonic SP,x28,"""Axonal morphology was revealed for 25 [CA3] cells whose somata were located within or close to stratum pyramidale. Of these cells, 17 were classed as perisomatic <% 2028 %> <% 2047 %> <% 2043 %> <% 2044 %> (Figure 1). ... Axons of the other eight inhibitory cells arborized largely in zones occupied by pyramidal cell dendrites, either apical or basilar or both <% 2045 %> (Figure 2).""","p815, right bot; p815, right bot",(x28+x29+x30+x31)/(x32+x33) = 17/8,basket cells (pv & cck) & AACs / bistratified-sp= 17/8,Miles; 8607999,,,,8607999,0,guinea pigs,,,150-250 g
901816,2047,CA3 Horizontal Axo-axonic SO,x29,"""Axonal morphology was revealed for 25 [CA3] cells whose somata were located within or close to stratum pyramidale. Of these cells, 17 were classed as perisomatic <% 2028 %> <% 2047 %> <% 2043 %> <% 2044 %> (Figure 1). ... Axons of the other eight inhibitory cells arborized largely in zones occupied by pyramidal cell dendrites, either apical or basilar or both <% 2045 %> (Figure 2).""","p815, right bot; p815, right bot",(x28+x29+x30+x31)/(x32+x33) = 17/8,basket cells (pv & cck) & AACs / bistratified-sp= 17/8,Miles; 8607999,,,,8607999,0,guinea pigs,,,150-250 g
901818,2043,CA3 Basket SP,x30,"""Axonal morphology was revealed for 25 [CA3] cells whose somata were located within or close to stratum pyramidale. Of these cells, 17 were classed as perisomatic <% 2028 %> <% 2047 %> <% 2043 %> <% 2044 %> (Figure 1). ... Axons of the other eight inhibitory cells arborized largely in zones occupied by pyramidal cell dendrites, either apical or basilar or both <% 2045 %> (Figure 2).""","p815, right bot; p815, right bot",(x28+x29+x30+x31)/(x32+x33) = 17/8,basket cells (pv & cck) & AACs / bistratified-sp= 17/8,Miles; 8607999,,,,8607999,0,guinea pigs,,,150-250 g
901820,2044,CA3 Basket CCK+ SP,x31,"""Axonal morphology was revealed for 25 [CA3] cells whose somata were located within or close to stratum pyramidale. Of these cells, 17 were classed as perisomatic <% 2028 %> <% 2047 %> <% 2043 %> <% 2044 %> (Figure 1). ... Axons of the other eight inhibitory cells arborized largely in zones occupied by pyramidal cell dendrites, either apical or basilar or both <% 2045 %> (Figure 2).""","p815, right bot; p815, right bot",(x28+x29+x30+x31)/(x32+x33) = 17/8,basket cells (pv & cck) & AACs / bistratified-sp= 17/8,Miles; 8607999,,,,8607999,0,guinea pigs,,,150-250 g
901822,2045,CA3 Bistratified SO,x32,"""Axonal morphology was revealed for 25 [CA3] cells whose somata were located within or close to stratum pyramidale. Of these cells, 17 were classed as perisomatic <% 2028 %> <% 2047 %> <% 2043 %> <% 2044 %> (Figure 1). ... Axons of the other eight inhibitory cells arborized largely in zones occupied by pyramidal cell dendrites, either apical or basilar or both <% 2045 %> (Figure 2).""","p815, right bot; p815, right bot",(x28+x29+x30+x31)/(x32+x33) = 17/8,basket cells (pv & cck) & AACs / bistratified-sp= 17/8,Miles; 8607999,,,,8607999,0,guinea pigs,,,150-250 g
901824,2045,CA3 Bistratified SP,x33,"""Axonal morphology was revealed for 25 [CA3] cells whose somata were located within or close to stratum pyramidale. Of these cells, 17 were classed as perisomatic <% 2028 %> <% 2047 %> <% 2043 %> <% 2044 %> (Figure 1). ... Axons of the other eight inhibitory cells arborized largely in zones occupied by pyramidal cell dendrites, either apical or basilar or both <% 2045 %> (Figure 2).""","p815, right bot; p815, right bot",(x28+x29+x30+x31)/(x32+x33) = 17/8,basket cells (pv & cck) & AACs / bistratified-sp= 17/8,Miles; 8607999,,,,8607999,0,guinea pigs,,,150-250 g
901826,2028,CA3 Axo-axonic SP,x28,"""From a total number of 61 PV-EGFP [parvalbumin-enhanced green fluorescent protein] cells recorded in different sets of experiments, in 30 cases the biocytin-filled boutons were localized to str. pyramidale and only rarely approached ankyrin G-stained profiles (Fig. 1c1Ð3) suggesting their FSBC [fast-spiking basket cell] <% 2043 %> origin. Conversely, in the remaining 31 cases the axonal arbor was densest in str. pyramidale and neighboring str. oriens border, and the boutons formed close appositions with ankyrin G-immunoreactive segments, often in climbing-fiber manner, similar to the axon terminals of AAC [axo-axonic cell] <% 2028 %. (Fig. 1d1,2).""","p15137, left mid",x28/x30=31/30,bc/(bc+aac)=30/61,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901828,2043,CA3 Basket SP,x30,"""From a total number of 61 PV-EGFP [parvalbumin-enhanced green fluorescent protein] cells recorded in different sets of experiments, in 30 cases the biocytin-filled boutons were localized to str. pyramidale and only rarely approached ankyrin G-stained profiles (Fig. 1c1Ð3) suggesting their FSBC [fast-spiking basket cell] <% 2043 %> origin. Conversely, in the remaining 31 cases the axonal arbor was densest in str. pyramidale and neighboring str. oriens border, and the boutons formed close appositions with ankyrin G-immunoreactive segments, often in climbing-fiber manner, similar to the axon terminals of AAC [axo-axonic cell] <% 2028 %. (Fig. 1d1,2).""","p15137, left mid",x28/x30=31/30,bc/(bc+aac)=30/61,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901830,2028,CA3 Axo-axonic SP,x28,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x30/(x28+x29+x30+x31)=13/25,bc/(bc+aac+bc_cck)=13/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901832,2047,CA3 Horizontal Axo-axonic SO,x29,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x30/(x28+x29+x30+x31)=13/25,bc/(bc+aac+bc_cck)=13/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901834,2043,CA3 Basket SP,x30,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x30/(x28+x29+x30+x31)=13/25,bc/(bc+aac+bc_cck)=13/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901836,2044,CA3 Basket CCK+ SP,x31,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x30/(x28+x29+x30+x31)=13/25,bc/(bc+aac+bc_cck)=13/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901838,2028,CA3 Axo-axonic SP,x28,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x28+x29/(x28+x29+x30+x31)=12/25,aac/(bc+aac+bc_cck)=12/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901840,2047,CA3 Horizontal Axo-axonic SO,x29,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x28+x29/(x28+x29+x30+x31)=12/25,aac/(bc+aac+bc_cck)=12/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901842,2043,CA3 Basket SP,x30,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x28+x29/(x28+x29+x30+x31)=12/25,aac/(bc+aac+bc_cck)=12/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901844,2044,CA3 Basket CCK+ SP,x31,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x28+x29/(x28+x29+x30+x31)=12/25,aac/(bc+aac+bc_cck)=12/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901846,2028,CA3 Axo-axonic SP,x28,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x31/(x28+x29+x30+x31) = 2/5,bc_cck/(bc+aac+bc_cck)=10/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901848,2047,CA3 Horizontal Axo-axonic SO,x29,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x31/(x28+x29+x30+x31) = 2/5,bc_cck/(bc+aac+bc_cck)=10/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901850,2043,CA3 Basket SP,x30,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x31/(x28+x29+x30+x31) = 2/5,bc_cck/(bc+aac+bc_cck)=10/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901852,2044,CA3 Basket CCK+ SP,x31,"""Figure 2. Subtypes of [CA3] perisomatic inhibitory cells can be separated on the basis of their firing frequency, doublet incidence, and phase-coupling strength during CCh-induced [carbachol] network oscillations in vitro. ... c, d, The spikes per cycle (c) and the doublet ratio (d) were significantly higher for FSBCs [fast-spiking basket cells] <% 2043 %> (n = 13) than for AACs [axo-axonic cells] <% 2028 %> <% 2047 %> (n = 12, green) and RSBCs [regular-spiking basket cells] <% 2044 %> (n = 10, blue).""","p15139, Fig2c-d caption",x31/(x28+x29+x30+x31) = 2/5,bc_cck/(bc+aac+bc_cck)=10/25,Gulyas 2010,,,,21068319,0,mice,C57BL/6 and transgenic,male and female,P15-P22
901854,2000,CA3 Pyramidal SP,x23,"""These results indicated that although the presumed CA3 GCs [granule cells] <% 2001 %> were not abundant, their frequency of occurrence relative to CA3 principal cells <% 2000 %> <% 2004 %> [330 per 250,000, or 0.13%; for the total number of CA3 principal cells, see Andersen et al. (2007)""","p8298, left mid",(x26+x27)/(x23+x24) = 330/250000,CA3_GC/(CA3_Pyr+ca3c_pyr+ca2_pyr) = 330/250000,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
901856,2004,CA3c Pyramidal SP,x24,"""These results indicated that although the presumed CA3 GCs [granule cells] <% 2001 %> were not abundant, their frequency of occurrence relative to CA3 principal cells <% 2000 %> <% 2004 %> [330 per 250,000, or 0.13%; for the total number of CA3 principal cells, see Andersen et al. (2007)""","p8298, left mid",(x26+x27)/(x23+x24) = 330/250000,CA3_GC/(CA3_Pyr+ca3c_pyr+ca2_pyr) = 330/250000,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
901858,2001,CA3 Granule SL,x26,"""These results indicated that although the presumed CA3 GCs [granule cells] <% 2001 %> were not abundant, their frequency of occurrence relative to CA3 principal cells <% 2000 %> <% 2004 %> [330 per 250,000, or 0.13%; for the total number of CA3 principal cells, see Andersen et al. (2007)""","p8298, left mid",(x26+x27)/(x23+x24) = 330/250000,CA3_GC/(CA3_Pyr+ca3c_pyr+ca2_pyr) = 330/250000,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
901860,2001,CA3 Granule SR,x27,"""These results indicated that although the presumed CA3 GCs [granule cells] <% 2001 %> were not abundant, their frequency of occurrence relative to CA3 principal cells <% 2000 %> <% 2004 %> [330 per 250,000, or 0.13%; for the total number of CA3 principal cells, see Andersen et al. (2007)""","p8298, left mid",(x26+x27)/(x23+x24) = 330/250000,CA3_GC/(CA3_Pyr+ca3c_pyr+ca2_pyr) = 330/250000,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
901862,2046,CA3 Ivy SL,x39,"""The somatic paired recording revealed monosynaptic connections from CA3 GCs [granule cells] onto SLCs [spiny lucidum cells] <% 2019 %> (Fig. 4A1,2) (n=11; eight SLCs were SOM+ of eight tested; four were NPY+ [neuropeptide Y-positive] of four tested), RSBCs [regular-spiking basket cells] <% 2017 %> (Fig. 4B) (n=2; one CCK+ [cholecystokinin-positive] of one tested, zero SOM+ [somatostatin-positive] of two tested), IvyCs [ivy cells] <% 2046 %> (Fig. 4C) (n=2; one NPY+ of one tested, zero SOM+ of two tested), and FSBCs [fast-spiking basket cells] (data not shown; n=3; two PV+ [parvalbumin-positive] of two tested).""","p8300, right top",x44/(x39+x41+x44) = 11/15,SpinyLucidium/(slc+mfaorden-sl+ivy+bc)= 11/15,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
901864,2017,Lucidum LAX SL,x41,"""The somatic paired recording revealed monosynaptic connections from CA3 GCs [granule cells] onto SLCs [spiny lucidum cells] <% 2019 %> (Fig. 4A1,2) (n=11; eight SLCs were SOM+ of eight tested; four were NPY+ [neuropeptide Y-positive] of four tested), RSBCs [regular-spiking basket cells] <% 2017 %> (Fig. 4B) (n=2; one CCK+ [cholecystokinin-positive] of one tested, zero SOM+ [somatostatin-positive] of two tested), IvyCs [ivy cells] <% 2046 %> (Fig. 4C) (n=2; one NPY+ of one tested, zero SOM+ of two tested), and FSBCs [fast-spiking basket cells] (data not shown; n=3; two PV+ [parvalbumin-positive] of two tested).""","p8300, right top",x44/(x39+x41+x44) = 11/15,SpinyLucidium/(slc+mfaorden-sl+ivy+bc)= 11/15,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
901866,2019,Spiny Lucidum SL,x44,"""The somatic paired recording revealed monosynaptic connections from CA3 GCs [granule cells] onto SLCs [spiny lucidum cells] <% 2019 %> (Fig. 4A1,2) (n=11; eight SLCs were SOM+ of eight tested; four were NPY+ [neuropeptide Y-positive] of four tested), RSBCs [regular-spiking basket cells] <% 2017 %> (Fig. 4B) (n=2; one CCK+ [cholecystokinin-positive] of one tested, zero SOM+ [somatostatin-positive] of two tested), IvyCs [ivy cells] <% 2046 %> (Fig. 4C) (n=2; one NPY+ of one tested, zero SOM+ of two tested), and FSBCs [fast-spiking basket cells] (data not shown; n=3; two PV+ [parvalbumin-positive] of two tested).""","p8300, right top",x44/(x39+x41+x44) = 11/15,SpinyLucidium/(slc+mfaorden-sl+ivy+bc)= 11/15,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
901868,2046,CA3 Ivy SL,x39,"""The somatic paired recording revealed monosynaptic connections from CA3 GCs [granule cells] onto SLCs [spiny lucidum cells] <% 2019 %> (Fig. 4A1,2) (n=11; eight SLCs were SOM+ of eight tested; four were NPY+ [neuropeptide Y-positive] of four tested), RSBCs [regular-spiking basket cells] <% 2017 %> (Fig. 4B) (n=2; one CCK+ [cholecystokinin-positive] of one tested, zero SOM+ [somatostatin-positive] of two tested), IvyCs [ivy cells] <% 2046 %> (Fig. 4C) (n=2; one NPY+ of one tested, zero SOM+ of two tested), and FSBCs [fast-spiking basket cells] (data not shown; n=3; two PV+ [parvalbumin-positive] of two tested).""","p8300, right top",x41/(x39+x41+x44) = 2/15,luc-lax/(slc+mfaorden-sl+ivy+bc) = 2/15,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
901870,2017,Lucidum LAX SL,x41,"""The somatic paired recording revealed monosynaptic connections from CA3 GCs [granule cells] onto SLCs [spiny lucidum cells] <% 2019 %> (Fig. 4A1,2) (n=11; eight SLCs were SOM+ of eight tested; four were NPY+ [neuropeptide Y-positive] of four tested), RSBCs [regular-spiking basket cells] <% 2017 %> (Fig. 4B) (n=2; one CCK+ [cholecystokinin-positive] of one tested, zero SOM+ [somatostatin-positive] of two tested), IvyCs [ivy cells] <% 2046 %> (Fig. 4C) (n=2; one NPY+ of one tested, zero SOM+ of two tested), and FSBCs [fast-spiking basket cells] (data not shown; n=3; two PV+ [parvalbumin-positive] of two tested).""","p8300, right top",x41/(x39+x41+x44) = 2/15,luc-lax/(slc+mfaorden-sl+ivy+bc) = 2/15,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
901872,2019,Spiny Lucidum SL,x44,"""The somatic paired recording revealed monosynaptic connections from CA3 GCs [granule cells] onto SLCs [spiny lucidum cells] <% 2019 %> (Fig. 4A1,2) (n=11; eight SLCs were SOM+ of eight tested; four were NPY+ [neuropeptide Y-positive] of four tested), RSBCs [regular-spiking basket cells] <% 2017 %> (Fig. 4B) (n=2; one CCK+ [cholecystokinin-positive] of one tested, zero SOM+ [somatostatin-positive] of two tested), IvyCs [ivy cells] <% 2046 %> (Fig. 4C) (n=2; one NPY+ of one tested, zero SOM+ of two tested), and FSBCs [fast-spiking basket cells] (data not shown; n=3; two PV+ [parvalbumin-positive] of two tested).""","p8300, right top",x41/(x39+x41+x44) = 2/15,luc-lax/(slc+mfaorden-sl+ivy+bc) = 2/15,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
901874,2046,CA3 Ivy SL,x39,"""The somatic paired recording revealed monosynaptic connections from CA3 GCs [granule cells] onto SLCs [spiny lucidum cells] <% 2019 %> (Fig. 4A1,2) (n=11; eight SLCs were SOM+ of eight tested; four were NPY+ [neuropeptide Y-positive] of four tested), RSBCs [regular-spiking basket cells] <% 2017 %> (Fig. 4B) (n=2; one CCK+ [cholecystokinin-positive] of one tested, zero SOM+ [somatostatin-positive] of two tested), IvyCs [ivy cells] <% 2046 %> (Fig. 4C) (n=2; one NPY+ of one tested, zero SOM+ of two tested), and FSBCs [fast-spiking basket cells] (data not shown; n=3; two PV+ [parvalbumin-positive] of two tested).""","p8300, right top",x39/(x39+x41+x44) = 2/15,Ivy/(slc+mfaorden-sl+ivy+bc) = 2/15,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
901876,2017,Lucidum LAX SL,x41,"""The somatic paired recording revealed monosynaptic connections from CA3 GCs [granule cells] onto SLCs [spiny lucidum cells] <% 2019 %> (Fig. 4A1,2) (n=11; eight SLCs were SOM+ of eight tested; four were NPY+ [neuropeptide Y-positive] of four tested), RSBCs [regular-spiking basket cells] <% 2017 %> (Fig. 4B) (n=2; one CCK+ [cholecystokinin-positive] of one tested, zero SOM+ [somatostatin-positive] of two tested), IvyCs [ivy cells] <% 2046 %> (Fig. 4C) (n=2; one NPY+ of one tested, zero SOM+ of two tested), and FSBCs [fast-spiking basket cells] (data not shown; n=3; two PV+ [parvalbumin-positive] of two tested).""","p8300, right top",x39/(x39+x41+x44) = 2/15,Ivy/(slc+mfaorden-sl+ivy+bc) = 2/15,Szabadics 2010,,,,20554881,0,rats,Wistar,male and female,adolescent; P22-P37
