RefID,,,Quote,Location,,,,,PMID/ISBN,UID,,Figure,HcoRefID
2000037,"CA1 axoaxonic, basket, or bistratified cells and unidentified PV or _1-GABAARÃimmunoreactive dendrites","CA1 axoaxonic, basket, or bistratified cells and unidentified PV or _1-GABAARÃimmunoreactive dendrites","The presence of immunoreactivity for Cx36 at meeting points between dendrites of identified axoaxonic, basket, or bistratified cells and unidentified PV or _1-GABAARÃimmunoreactive dendrites is in line with reports of electrical coupling between interneurons of the same class (Galarreta and Hestrin 1999; Gibson et al. 1999; Tamas et al. 2000; Fukuda and Kosaka 2003; Price et al. 2005; Zsiros and Maccaferri 2005). This might be of particular importance for the synchronization of axoaxonic cells because no GABAergic synaptic input or interconnectivity has been reported between members of this cell type. However, in one case, an axoaxonic cell dendrite shared Cx36 immunolabeling with a strongly _1-GABAARÃimmunoreactive dendrite, suggesting the formation of a gap junction with a non-axoaxonic cell. Electrical coupling between neurons of different classes has been described rarely for fast-spiking cortical interneurons (Gibson et al. 1999) and more frequently for other interneurons (Simon et al. 2005). In addition, gap junctions between PV-positive and negative, presumptive interneuron dendrites have been also described in rat cortex (Fukuda and Kosaka 2003).",p2105,"Baude A, Bleasdale C, Dalezios Y, Somogyi P, Klausberger T.","Immunoreactivity for the GABAA receptor alpha1 subunit, somatostatin and Connexin36 distinguishes axoaxonic, basket, and bistratified interneurons of the rat hippocampus",Cereb Cortex,2007,17122364,,,,
2000038,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,"Some of the first physiological evidence that CA3 axons innervated the dentate gyrus came from studies in hippocampal slices, which showed that a stimulating electrode placed in the hilus could activate an antidromic population spike, recorded extracellularly in the CA3 pyramidal cell layer.Subsequent studies identified what cell types in the dentate gyrus could be influenced by the CA3 projection. Several approaches established that hilar neurons could be activated readily, but granule cells could not.
First, fimbria stimulation was used to activate CA3 pyramidal cells instead of the hilus, because antidromic action potentials are easily elicited in CA3 neurons by stimulation at this site, with no evidence for direct activation of hilar neurons and granule cells. Direct activation would be expected because hilar cells that project commissurally have an axon that descends into stratum oriens of CA3b, presumably on its way to the fimbria, but in our slices, we have found that it is severed before reaching the fimbria. Direct activation of granule cells would only be possible if current spread entered stratum lucidum, which recordings show does not occur after fimbria stimulation using the methods we have employed.
Extracellular recordings showed that such fimbria stimulation led to antidromic and orthodromic activation of CA3 b and c pyramidal cells, followed by an extracellular negative wave in the granule cell layer and inner molecular layer that reversed polarity in the middle molecular layer (Fig. 2). Due to the negative resting potential of granule cells, the negative potential could reflect an EPSP or depolarized IPSP, and it was shown subsequently by intracellular recording that it was a depolarized GABAA receptor-mediated IPSP (Fig. 3; Scharfman, 1994a, Scharfman, 1994b and Scharfman, 1994c).
This fimbria stimulation site activated hilar mossy cells and hilar GABAergic neurons disynaptically, and was sensitive to the AMPA receptor antagonist CNQX but not the muscarinic antagonist atropine (Scharfman, 1993a). At a longer latency, the granule cell IPSP began. These data suggesting that fimbria activation of CA3 pyramidal cells led to hilar neuron activation, presumably by hilar collaterals of CA3 pyramidal cells. Comparing the latency to the response of CA3 pyramidal cells and hilar cells supported this hypothesis, because CA3 pyramidal cells were activated at short latency and hilar cells approximately 2 ms later. The same stimulus evoked a long latency IPSP in granule cells, consistent with a CA3-hilar neuron-granule cell pathway. In the presence of bicuculline, a GABAA receptor antagonist, fimbria stimulation evoked EPSPs in granule cells, and did so with a similar latency as the IPSPs, suggesting a CA3-mossy cell-granule cell pathway is normally masked by the activation of GABAergic interneurons by CA3 hilar collaterals (Fig. 3). Additional studies revealed that the GABAergic neurons may not only involve those in the hilus, but also the Ã’basket cellsÃ“ of the granule cell layer (Scharfman, 1994a and Scharfman, 1994c; Kneisler and Dingledine, 1995).",p630 right,Scharfman HE,"The CA3 ""backprojection"" to the dentate gyrus",Prog Brain Res,2007,17765742,,,,
2000038,CA3c Pyramidal (+)03223p,DG Mossy,"Some of the first physiological evidence that CA3 axons innervated the dentate gyrus came from studies in hippocampal slices, which showed that a stimulating electrode placed in the hilus could activate an antidromic population spike, recorded extracellularly in the CA3 pyramidal cell layer.Subsequent studies identified what cell types in the dentate gyrus could be influenced by the CA3 projection. Several approaches established that hilar neurons could be activated readily, but granule cells could not.
First, fimbria stimulation was used to activate CA3 pyramidal cells instead of the hilus, because antidromic action potentials are easily elicited in CA3 neurons by stimulation at this site, with no evidence for direct activation of hilar neurons and granule cells. Direct activation would be expected because hilar cells that project commissurally have an axon that descends into stratum oriens of CA3b, presumably on its way to the fimbria, but in our slices, we have found that it is severed before reaching the fimbria. Direct activation of granule cells would only be possible if current spread entered stratum lucidum, which recordings show does not occur after fimbria stimulation using the methods we have employed.
Extracellular recordings showed that such fimbria stimulation led to antidromic and orthodromic activation of CA3 b and c pyramidal cells, followed by an extracellular negative wave in the granule cell layer and inner molecular layer that reversed polarity in the middle molecular layer (Fig. 2). Due to the negative resting potential of granule cells, the negative potential could reflect an EPSP or depolarized IPSP, and it was shown subsequently by intracellular recording that it was a depolarized GABAA receptor-mediated IPSP (Fig. 3; Scharfman, 1994a, Scharfman, 1994b and Scharfman, 1994c).
This fimbria stimulation site activated hilar mossy cells and hilar GABAergic neurons disynaptically, and was sensitive to the AMPA receptor antagonist CNQX but not the muscarinic antagonist atropine (Scharfman, 1993a). At a longer latency, the granule cell IPSP began. These data suggesting that fimbria activation of CA3 pyramidal cells led to hilar neuron activation, presumably by hilar collaterals of CA3 pyramidal cells. Comparing the latency to the response of CA3 pyramidal cells and hilar cells supported this hypothesis, because CA3 pyramidal cells were activated at short latency and hilar cells approximately 2 ms later. The same stimulus evoked a long latency IPSP in granule cells, consistent with a CA3-hilar neuron-granule cell pathway. In the presence of bicuculline, a GABAA receptor antagonist, fimbria stimulation evoked EPSPs in granule cells, and did so with a similar latency as the IPSPs, suggesting a CA3-mossy cell-granule cell pathway is normally masked by the activation of GABAergic interneurons by CA3 hilar collaterals (Fig. 3). Additional studies revealed that the GABAergic neurons may not only involve those in the hilus, but also the Ã’basket cellsÃ“ of the granule cell layer (Scharfman, 1994a and Scharfman, 1994c; Kneisler and Dingledine, 1995).",p630 right,Scharfman HE,"The CA3 ""backprojection"" to the dentate gyrus",Prog Brain Res,2007,17765742,,,,
2000039,CA3c Pyramidal (+)03223p,DG Granule (+)2201p,"Li et al. (1994) also noted that CA3 pyramidal cell axons entered the granule cell layer and collateralized in the inner molecular layer, and this was predominantly a characteristic of ventral CA3c pyramidal cells. These axons exhibited numerous varicosities, suggesting that they innervated dentate gyrus granule cells, and possibly other cell types. Therefore, the CA3c population of ventral hippocampus appears to be a subset of CA3 pyramidal cells with the highest potential for dentate gyrus interactions.
These studies were the first to define hilar collateralization of CA3 neurons unequivocally. However, one caveat was that the sample sizes were small, and it remains unclear exactly how representative the data were of the entire CA3 population. It also is unclear whether the data from adult rat might vary across age and species. Due to the labor-intensive nature of the experiments, these questions remain unanswered.",p629 top right,Scharfman HE,"The CA3 ""backprojection"" to the dentate gyrus",Prog Brain Res,2007,17765742,,,,
2000041,CA3c Pyramidal (+)03223p,DG Mossy,"Fig. 3. Physiological evidence for a CA3 backprojection mediated by hilar neurons. (A) A schematic illustrates the backprojection supported by physiological evidence collected to date. It shows that CA3 pyramidal cells innervate GABAergic and glutamatergic mossy cells of the hilus, which in turn innervate granule cells. (B) Recordings illustrate the physiological correlates of the schematic in A. Intracellular recordings from granule cells in response to fimbria stimulation in an adult male rat slice illustrate an evoked IPSP that reverses at _70 mV, indicated a GABAA receptor-mediated IPSP is primarily evoked under normal conditions. After the GABAA receptor antagonist bicuculline was bath-applied, the evoked response was an EPSP followed by an IPSP that reversed at approximately _80 mV, suggesting an EPSP followed by a GABAB receptor-mediated IPSP is normally masked by GABAA receptor-mediated inhibition. From Scharfman (1994a). Reprinted with permission from the Society for Neuroscience.",p632 top,Scharfman HE,"The CA3 ""backprojection"" to the dentate gyrus",Prog Brain Res,2007,17765742,,,,
2000042,CA3c Pyramidal (+)03223p,DG Mossy,"In summary, there is strong evidence from studies in hippocampal slices that the CA3 backprojection innervates hilar neurons, both mossy cells and GABAergic neurons. Currently there is no physiological evidence that CA3 directly innervates the granule cells of the dentate gyrus, but absence of evidence is not a proof of absence.

At the present time, the evidence suggests that the granule cells, even if they receive a direct projection from CA3 neurons, are primarily inhibited by the backprojection, not activated. However, once they are relieved of GABAA receptor-mediated inhibition, a strong excitatory circuit is unmasked. The excitatory circuit appears to be primarily derived from the mossy cell projection to the inner molecular layer.",p632-633,Scharfman HE,"The CA3 ""backprojection"" to the dentate gyrus",Prog Brain Res,2007,17765742,,,,
2000042,CA3c Pyramidal (+)03223p,DG Granule Cells,"In summary, there is strong evidence from studies in hippocampal slices that the CA3 backprojection innervates hilar neurons, both mossy cells and GABAergic neurons. Currently there is no physiological evidence that CA3 directly innervates the granule cells of the dentate gyrus, but absence of evidence is not a proof of absence.

At the present time, the evidence suggests that the granule cells, even if they receive a direct projection from CA3 neurons, are primarily inhibited by the backprojection, not activated. However, once they are relieved of GABAA receptor-mediated inhibition, a strong excitatory circuit is unmasked. The excitatory circuit appears to be primarily derived from the mossy cell projection to the inner molecular layer.",p632-633,Scharfman HE,"The CA3 ""backprojection"" to the dentate gyrus",Prog Brain Res,2007,17765742,,,,
2000045,EC LII Stallate,EC LII Stallate,"Paired intracellular recordings were used to investigate recurrent excitatory transmission in layers II, III and V of the rat entorhinal cortex in vitro. There was a relatively high probability of finding a recurrent connection between pairs of pyramidal neurons in both layer V (around 12%) and layer III (around 9%). In complete contrast, we have failed to find any recurrent synaptic connections between principal neurons in layer II, and this may be an important factor in the relative resistance of this layer in generating synchronized epileptiform activity. In general, recurrent excitatory postsynaptic potentials in layers III and V of the entorhinal cortex had similar properties to those recorded in other cortical areas, although the probabilities of connection are among the highest reported. Recurrent excitatory postsynaptic potentials recorded in layer V were smaller with faster rise times than those recorded in layer III. In both layers, the recurrent potentials were mediated by glutamate primarily acting at _-amino-3-hydroxy-5-methyl-4-isoxazole receptors, although there appeared to be a slow component mediated by N-methyl-d-aspartate receptors. In layer III, recurrent transmission failed on about 30% of presynaptic action potentials evoked at 0.2 Hz. This failure rate increased markedly with increasing (2, 3 Hz) frequency of activation. In layer V the failure rate at low frequency was less (19%), and although it increased at higher frequencies this effect was less pronounced than in layer III. Finally, in layer III, there was evidence for a relatively high probability of electrical coupling between pyramidal neurons.",Abstract,"Dhillon A, Jones RS.",Laminar differences in recurrent excitatory transmission in the rat entorhinal cortex in vitro,Neuroscience,2000,11029534,,,,
2000047,LII stallate,LII pyramidal,"We had a high success rate when targeting stellate cells in layer II, but we recorded from 24 pyramidal cells in layer II as well (Fig. 1a, cell 4), as part of the predetermined stimulation routine to check for connectivity within clusters. In two of the cases, stimulation of stellate cells resulted in postsynaptic excitatory responses in pyramidal neurons (mean responses, 0.8 mV and 0.4 mV). However, we did not observe postsynaptic responses, neither excitatory nor inhibitory, in stellate cells (N = 52) when stimulating pyramidal cells.",p319 Right Bottom,"Couey JJ, Witoelar A, Zhang SJ, Zheng K, Ye J, Dunn B, Czajkowski R, Moser MB, Moser EI, Roudi Y, Witter MP",Recurrent inhibitory circuitry as a mechanism for grid formation,Nat Neurosci.,2013,23334580,,,,
2000048,LII stallate,LII stallate,"Stellate cells are connected via inhibitory interneurons. In slices obtained from rats older than postnatal day 21, activation of short bursts of synchronous action potentials in a single stellate cell (3Ã10 pulses at 10 Hz, 20 Hz, 40 Hz or 70 Hz) resulted in inhibitory responses in only 4% of recorded pairs (amplitude = Ã0.6 mV Â± 0.5 mV; peak time = 13.1 ms Â± 4 ms), whereas in the remaining stellate cells we observed no measurable responses (Fig. 1b,c). The evoked inhibitory responses were independent of presynaptic firing frequency (Fig. 1c), and we observed no differences along the dorsal-ventral axis. Concurrent activation of short bursts of synchronous action potentials (3Ã10 pulses at 70 Hz) in three stellate cells resulted in simple and compound inhibitory responses in the fourth nonstimulated stellate cell in 64% of all cells within recorded clusters under normal recording conditions over all recording locations; Fig. 1d). The evoked inhibitory responses exhibited stable amplitudes (Ã0.70 mV Â± 0.06 mV; Fig. 2) and peak times (12.2 ms Â± 2 ms).",p320 Left Middle,"Couey JJ, Witoelar A, Zhang SJ, Zheng K, Ye J, Dunn B, Czajkowski R, Moser MB, Moser EI, Roudi Y, Witter MP",Recurrent inhibitory circuitry as a mechanism for grid formation,Nat Neurosci.,2013,"23334580
",,,,
2000048,LII stallate,MEC LII fast-spiking interneuron,"Stellate cells are connected via inhibitory interneurons. In slices obtained from rats older than postnatal day 21, activation of short bursts of synchronous action potentials in a single stellate cell (3Ã10 pulses at 10 Hz, 20 Hz, 40 Hz or 70 Hz) resulted in inhibitory responses in only 4% of recorded pairs (amplitude = Ã0.6 mV Â± 0.5 mV; peak time = 13.1 ms Â± 4 ms), whereas in the remaining stellate cells we observed no measurable responses (Fig. 1b,c). The evoked inhibitory responses were independent of presynaptic firing frequency (Fig. 1c), and we observed no differences along the dorsal-ventral axis. Concurrent activation of short bursts of synchronous action potentials (3Ã10 pulses at 70 Hz) in three stellate cells resulted in simple and compound inhibitory responses in the fourth nonstimulated stellate cell in 64% of all cells within recorded clusters under normal recording conditions over all recording locations; Fig. 1d). The evoked inhibitory responses exhibited stable amplitudes (Ã0.70 mV Â± 0.06 mV; Fig. 2) and peak times (12.2 ms Â± 2 ms).",p320 Left Middle,"Couey JJ, Witoelar A, Zhang SJ, Zheng K, Ye J, Dunn B, Czajkowski R, Moser MB, Moser EI, Roudi Y, Witter MP",Recurrent inhibitory circuitry as a mechanism for grid formation,Nat Neurosci.,2013,"23334580
",,,,
2000049,LII stallate,MEC LII fast-spiking interneuron,"Inhibition is mediated by inhibitory fast-spiking cells. To identify possible sources of the recurrent inhibition, we examined cluster recordings containing both stellate cells and one or more local putative interneurons. We grouped the recorded putative interneurons into two electrophysiological types, based on their electrophysiological profile23, 24 (Supplementary Table 1, Supplementary Fig. 2a and Online Methods). These two subgroups were differently connected to stellate cells: 43 putative fast-spiking interneurons (resting membrane voltage (Vm) = Ã68.8 mV Â± 3 mV; non-adapting: action potential halfwidth, 0.6 ms Â± 0.09 ms) made abundant inhibitory synapses onto 24 stellate cells (54% connectivity rate; peak latency = 10.27 ms Â± 0.5 ms; Fig. 3a,b23), whereas we found no connections from 10 low-threshold spiking (LTS) putative interneurons (rest Vm = Ã56 mV Â± 4 mV; adapting; action potential halfwidth, 0.9 ms Â± 0.08 ms). The amplitudes of the postsynaptic inhibitory responses evoked in fast-spiking stellate cell pairs were not statistically different from the mean recurrent inhibitory response shown in Figure 1d (mean = Ã0.54 mV Â± 0.2 mV; P = 0.106, t-test; Fig. 3c). Stellate cells were also highly connected with fast-spiking interneurons when compared with the LTS group (16 of 43 fast-spiking interneurons (37%); peak latency = 5.7 ms Â± 0.8 ms, mean amplitude 1.67 mV Â± 1.19 mV; 2 of 10 LTS interneurons (20%); peak latency = 6.1 and 5.9 ms; mean amplitude = 1.6 and 1.2 mV), and reciprocity between fast-spiking interneurons and stellate cells was high (11 of 16 stellate cell to fast-spiking interneuron excitatory connections were paired with a reciprocal inhibitory connection, equal to 26% of all pairs; Fig. 3b). Clusters containing interconnected stellate cells and fast-spiking interneurons could be used to demonstrate the functional recurrent inhibitory circuit (Supplementary Fig. 2b). These data implicate the latter microcircuit as a primary component of the recurrent inhibitory network in layer II23.",p321,"Couey JJ, Witoelar A, Zhang SJ, Zheng K, Ye J, Dunn B, Czajkowski R, Moser MB, Moser EI, Roudi Y, Witter MP",Recurrent inhibitory circuitry as a mechanism for grid formation,Nat Neurosci.,2013,"23334580
",,,,
2000049,MEC LII fast-spiking interneuron,LII stallate,"Inhibition is mediated by inhibitory fast-spiking cells. To identify possible sources of the recurrent inhibition, we examined cluster recordings containing both stellate cells and one or more local putative interneurons. We grouped the recorded putative interneurons into two electrophysiological types, based on their electrophysiological profile23, 24 (Supplementary Table 1, Supplementary Fig. 2a and Online Methods). These two subgroups were differently connected to stellate cells: 43 putative fast-spiking interneurons (resting membrane voltage (Vm) = Ã68.8 mV Â± 3 mV; non-adapting: action potential halfwidth, 0.6 ms Â± 0.09 ms) made abundant inhibitory synapses onto 24 stellate cells (54% connectivity rate; peak latency = 10.27 ms Â± 0.5 ms; Fig. 3a,b23), whereas we found no connections from 10 low-threshold spiking (LTS) putative interneurons (rest Vm = Ã56 mV Â± 4 mV; adapting; action potential halfwidth, 0.9 ms Â± 0.08 ms). The amplitudes of the postsynaptic inhibitory responses evoked in fast-spiking stellate cell pairs were not statistically different from the mean recurrent inhibitory response shown in Figure 1d (mean = Ã0.54 mV Â± 0.2 mV; P = 0.106, t-test; Fig. 3c). Stellate cells were also highly connected with fast-spiking interneurons when compared with the LTS group (16 of 43 fast-spiking interneurons (37%); peak latency = 5.7 ms Â± 0.8 ms, mean amplitude 1.67 mV Â± 1.19 mV; 2 of 10 LTS interneurons (20%); peak latency = 6.1 and 5.9 ms; mean amplitude = 1.6 and 1.2 mV), and reciprocity between fast-spiking interneurons and stellate cells was high (11 of 16 stellate cell to fast-spiking interneuron excitatory connections were paired with a reciprocal inhibitory connection, equal to 26% of all pairs; Fig. 3b). Clusters containing interconnected stellate cells and fast-spiking interneurons could be used to demonstrate the functional recurrent inhibitory circuit (Supplementary Fig. 2b). These data implicate the latter microcircuit as a primary component of the recurrent inhibitory network in layer II23.",p321,"Couey JJ, Witoelar A, Zhang SJ, Zheng K, Ye J, Dunn B, Czajkowski R, Moser MB, Moser EI, Roudi Y, Witter MP",Recurrent inhibitory circuitry as a mechanism for grid formation,Nat Neurosci.,2013,"23334580
",,,,
2000050,CA1 glutamatergic,CA1 SO-SO,"Maturation of glutamatergic synapses in INs of GluN2B_GAD67 mice. We next examined potential consequences of GluN2B deletion in INs on the functional development of glutamatergic synapses. We recorded at P12ÃP13 from INs that can be readily identified in acute hippocampal slices. We selected INs with the cell body in stratum oriens and confirmed IN identity based on the firing pattern and morphology (n = 10; Fig. 5A). We examined evoked synaptic glutamatergic currents in the presence of gabazine (10 _m) with sequential block of AMPA- and NMDAR-mediated EPSCs (CNQX, 10 _m, and d-AP5, 50 _m, respectively; Fig. 5B). In wt mice, all recorded INs exhibited NMDAR-mediated EPSCs. The ratio of NMDAR/AMPAR-mediated eEPSCs was reduced in GluN2B_GAD67 mice compared with age-matched wt littermates (p < 0.001, MannÃWhitney test; Fig. 5B,E) compatible with the ablation of the dominant GluN2 subunit in postnatal development. Interestingly, the ratio of AMPAR-mediated eEPSCs over gabazine-sensitive eIPSCs was increased in GluN2B_GAD67 mice compared with control littermates (p < 0.001, MannÃWhitney test; Fig. 5C,F). The paired-pulse ratio of AMPAR-mediated eEPSCs was similar in GluN2B_GAD67 and control neurons (n.s., MannÃWhitney test; Fig. 5D,G), supporting that the observed amplitude changes reflect postsynaptic alterations.",p16026-16027,"Kelsch W, Li Z, Wieland S, Senkov O, Herb A, GÂšngrich C, Monyer H",GluN2B-Containing NMDA Receptors Promote Glutamate Synapse Development in Hippocampal Interneurons,J Neurosci.,2014,25429143,,,,
2000055,CA3 Basket CCK+,CA3 PC,"A subpopulation of GABAergic cells in cortical structures expresses CB1 cannabinoid receptors (CB1) on their axon terminals. To understand the function of these interneurons in information processing, it is necessary to uncover how they are embedded into neuronal circuits. Therefore, the proportion of GABAergic terminals expressing CB1 and the morphological and electrophysiological properties of CB1-immunoreactive interneurons should be revealed. We investigated the ratio and the origin of CB1-expressing inhibitory boutons in the CA3 region of the hippocampus. Using immunocytochemical techniques, we estimated that _40% of GABAergic axon terminals in different layers of CA3 also expressed CB1. To identify the inhibitory cell types expressing CB1 in this region, we recorded and intracellularly labeled interneurons in hippocampal slices. CB1-expressing interneurons showed distinct axonal arborization, and were classified as basket cells, mossy-fiber-associated cells, dendritic-layer-innervating cells or perforant-path-associated cells. In each morphological category, a substantial variability in axonal projection was observed. In contrast to the diverse morphology, the active and passive membrane properties were found to be rather similar. Using paired recordings, we found that pyramidal cells displayed large and fast unitary postsynaptic currents in response to activating basket and mossy-fiber-associated cells, while they showed slower and smaller synaptic events in pairs originating from interneurons that innervate the dendritic layer, which may be due to dendritic filtering. In addition, CB1 activation significantly reduced the amplitude of the postsynaptic currents in each cell pair tested. Our data suggest that CB1-expressing interneurons with different axonal projections have comparable physiological characteristics, contributing to a similar proportion of GABAergic inputs along the somato-dendritic axis of CA3 pyramidal cells. Â© 2014 Wiley Periodicals, Inc.",Abstract,"SzabÂ— GG, Papp OI, MÂ‡tÂŽ Z, SzabÂ— G, HÂ‡jos N.",Anatomically heterogeneous populations of CB1 cannabinoid receptor-expressing interneurons in the CA3 region of the hippocampus show homogeneous input-output characteristics,Hippocampus,2014,25044969,,,,
2000055,CA3 Mossy-fiber-associated cells,CA3 PC,"A subpopulation of GABAergic cells in cortical structures expresses CB1 cannabinoid receptors (CB1) on their axon terminals. To understand the function of these interneurons in information processing, it is necessary to uncover how they are embedded into neuronal circuits. Therefore, the proportion of GABAergic terminals expressing CB1 and the morphological and electrophysiological properties of CB1-immunoreactive interneurons should be revealed. We investigated the ratio and the origin of CB1-expressing inhibitory boutons in the CA3 region of the hippocampus. Using immunocytochemical techniques, we estimated that _40% of GABAergic axon terminals in different layers of CA3 also expressed CB1. To identify the inhibitory cell types expressing CB1 in this region, we recorded and intracellularly labeled interneurons in hippocampal slices. CB1-expressing interneurons showed distinct axonal arborization, and were classified as basket cells, mossy-fiber-associated cells, dendritic-layer-innervating cells or perforant-path-associated cells. In each morphological category, a substantial variability in axonal projection was observed. In contrast to the diverse morphology, the active and passive membrane properties were found to be rather similar. Using paired recordings, we found that pyramidal cells displayed large and fast unitary postsynaptic currents in response to activating basket and mossy-fiber-associated cells, while they showed slower and smaller synaptic events in pairs originating from interneurons that innervate the dendritic layer, which may be due to dendritic filtering. In addition, CB1 activation significantly reduced the amplitude of the postsynaptic currents in each cell pair tested. Our data suggest that CB1-expressing interneurons with different axonal projections have comparable physiological characteristics, contributing to a similar proportion of GABAergic inputs along the somato-dendritic axis of CA3 pyramidal cells. Â© 2014 Wiley Periodicals, Inc.",Abstract,"SzabÂ— GG, Papp OI, MÂ‡tÂŽ Z, SzabÂ— G, HÂ‡jos N.",Anatomically heterogeneous populations of CB1 cannabinoid receptor-expressing interneurons in the CA3 region of the hippocampus show homogeneous input-output characteristics,Hippocampus,2014,25044969,,,,
2000055,CA3 Basket CCK+,CA3c PC,"A subpopulation of GABAergic cells in cortical structures expresses CB1 cannabinoid receptors (CB1) on their axon terminals. To understand the function of these interneurons in information processing, it is necessary to uncover how they are embedded into neuronal circuits. Therefore, the proportion of GABAergic terminals expressing CB1 and the morphological and electrophysiological properties of CB1-immunoreactive interneurons should be revealed. We investigated the ratio and the origin of CB1-expressing inhibitory boutons in the CA3 region of the hippocampus. Using immunocytochemical techniques, we estimated that _40% of GABAergic axon terminals in different layers of CA3 also expressed CB1. To identify the inhibitory cell types expressing CB1 in this region, we recorded and intracellularly labeled interneurons in hippocampal slices. CB1-expressing interneurons showed distinct axonal arborization, and were classified as basket cells, mossy-fiber-associated cells, dendritic-layer-innervating cells or perforant-path-associated cells. In each morphological category, a substantial variability in axonal projection was observed. In contrast to the diverse morphology, the active and passive membrane properties were found to be rather similar. Using paired recordings, we found that pyramidal cells displayed large and fast unitary postsynaptic currents in response to activating basket and mossy-fiber-associated cells, while they showed slower and smaller synaptic events in pairs originating from interneurons that innervate the dendritic layer, which may be due to dendritic filtering. In addition, CB1 activation significantly reduced the amplitude of the postsynaptic currents in each cell pair tested. Our data suggest that CB1-expressing interneurons with different axonal projections have comparable physiological characteristics, contributing to a similar proportion of GABAergic inputs along the somato-dendritic axis of CA3 pyramidal cells. Â© 2014 Wiley Periodicals, Inc.",Abstract,"SzabÂ— GG, Papp OI, MÂ‡tÂŽ Z, SzabÂ— G, HÂ‡jos N.",Anatomically heterogeneous populations of CB1 cannabinoid receptor-expressing interneurons in the CA3 region of the hippocampus show homogeneous input-output characteristics,Hippocampus,2014,25044969,,,,
2000055,CA3 Mossy-fiber-associated cells,CA3c PC,"A subpopulation of GABAergic cells in cortical structures expresses CB1 cannabinoid receptors (CB1) on their axon terminals. To understand the function of these interneurons in information processing, it is necessary to uncover how they are embedded into neuronal circuits. Therefore, the proportion of GABAergic terminals expressing CB1 and the morphological and electrophysiological properties of CB1-immunoreactive interneurons should be revealed. We investigated the ratio and the origin of CB1-expressing inhibitory boutons in the CA3 region of the hippocampus. Using immunocytochemical techniques, we estimated that _40% of GABAergic axon terminals in different layers of CA3 also expressed CB1. To identify the inhibitory cell types expressing CB1 in this region, we recorded and intracellularly labeled interneurons in hippocampal slices. CB1-expressing interneurons showed distinct axonal arborization, and were classified as basket cells, mossy-fiber-associated cells, dendritic-layer-innervating cells or perforant-path-associated cells. In each morphological category, a substantial variability in axonal projection was observed. In contrast to the diverse morphology, the active and passive membrane properties were found to be rather similar. Using paired recordings, we found that pyramidal cells displayed large and fast unitary postsynaptic currents in response to activating basket and mossy-fiber-associated cells, while they showed slower and smaller synaptic events in pairs originating from interneurons that innervate the dendritic layer, which may be due to dendritic filtering. In addition, CB1 activation significantly reduced the amplitude of the postsynaptic currents in each cell pair tested. Our data suggest that CB1-expressing interneurons with different axonal projections have comparable physiological characteristics, contributing to a similar proportion of GABAergic inputs along the somato-dendritic axis of CA3 pyramidal cells. Â© 2014 Wiley Periodicals, Inc.",Abstract,"SzabÂ— GG, Papp OI, MÂ‡tÂŽ Z, SzabÂ— G, HÂ‡jos N.",Anatomically heterogeneous populations of CB1 cannabinoid receptor-expressing interneurons in the CA3 region of the hippocampus show homogeneous input-output characteristics,Hippocampus,2014,25044969,,,,
2000056,CA1 Basket CCK+,CA1 PC,"In the CA1 region of the hippocampus, CB1 was shown to be present at boutons of inhibitory cells targeting different subcellular regions of pyramidal cells: basket cells that innervate the perisomatic region of the pyramidal cells, Schaffer collateral-associated cells that project mainly to the stratum radiatum and also perforant-path-associated cells projecting to the stratum lacunosum-moleculare (Katona et al., 1999; Hajos et al., 2000; Cope et al., 2002; Klausberger et al., 2005). Thus, the outputs of CB1-expressing interneurons are distributed along the somato-dendritic axis of pyramidal cells in accordance with the main afferent pathways of the CA1 region. In contrast to the variability in axonal projection, CB1-expressing interneurons in CA1 display rather similar properties in their synaptic output and firing behavior during distinct network activities in vivo (Klausberger et al., 2005; Daw et al., 2009).",p1506 Right Bottom,"SzabÂ— GG, Papp OI, MÂ‡tÂŽ Z, SzabÂ— G, HÂ‡jos N.",Anatomically heterogeneous populations of CB1 cannabinoid receptor-expressing interneurons in the CA3 region of the hippocampus show homogeneous input-output characteristics,Hippocampus,2014,25044969,,,,
