Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Neuron Type,Variable,Name of file containing figure,Reference_ID
jinno,,,,16930755,2042,CA3 Interneuron Specific Quad SR,x38,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902556
jinno,,,,16930755,2042,CA3 Interneuron Specific Quad SR,x38,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902562
jinno,,,,16930755,2042,CA3 Interneuron Specific Quad SR,x38,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902680
jinno,,,,16930755,2043,CA3 Basket SP,x30,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902124
jinno,,,,16930755,2043,CA3 Basket SP,x30,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902134
jinno,,,,16930755,2043,CA3 Basket SP,x30,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902290
jinno,,,,16930755,2043,CA3 Basket SP,x30,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902356
jinno,,,,16930755,2043,CA3 Basket SP,x30,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902640
jinno,,,,16930755,2044,CA3 Basket CCK+ SP,x31,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902292
jinno,,,,16930755,2044,CA3 Basket CCK+ SP,x31,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902468
jinno,,,,16930755,2044,CA3 Basket CCK+ SP,x31,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902478
jinno,,,,16930755,2044,CA3 Basket CCK+ SP,x31,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902642
jinno,,,,16930755,2045,CA3 Bistratified SO,x32,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902106
jinno,,,,16930755,2045,CA3 Bistratified SO,x32,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902202
jinno,,,,16930755,2045,CA3 Bistratified SO,x32,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902242
jinno,,,,16930755,2045,CA3 Bistratified SO,x32,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902278
jinno,,,,16930755,2045,CA3 Bistratified SO,x32,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902342
jinno,,,,16930755,2045,CA3 Bistratified SO,x32,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902454
jinno,,,,16930755,2045,CA3 Bistratified SO,x32,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902516
jinno,,,,16930755,2045,CA3 Bistratified SO,x32,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902622
jinno,,,,16930755,2045,CA3 Bistratified SP,x33,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902118
jinno,,,,16930755,2045,CA3 Bistratified SP,x33,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902214
jinno,,,,16930755,2045,CA3 Bistratified SP,x33,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902254
jinno,,,,16930755,2045,CA3 Bistratified SP,x33,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902294
jinno,,,,16930755,2045,CA3 Bistratified SP,x33,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902358
jinno,,,,16930755,2045,CA3 Bistratified SP,x33,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902472
jinno,,,,16930755,2045,CA3 Bistratified SP,x33,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902530
jinno,,,,16930755,2045,CA3 Bistratified SP,x33,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902644
jinno,,,,16930755,2046,CA3 Ivy SL,x39,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902224
jinno,,,,16930755,2046,CA3 Ivy SL,x39,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902308
jinno,,,,16930755,2046,CA3 Ivy SL,x39,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902324
jinno,,,,16930755,2046,CA3 Ivy SL,x39,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902540
jinno,,,,16930755,2046,CA3 Ivy SL,x39,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902662
jinno,,,,16930755,2047,CA3 Horizontal Axo-axonic SO,x29,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902104
jinno,,,,16930755,2047,CA3 Horizontal Axo-axonic SO,x29,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902116
jinno,,,,16930755,2047,CA3 Horizontal Axo-axonic SO,x29,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902276
jinno,,,,16930755,2047,CA3 Horizontal Axo-axonic SO,x29,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902340
jinno,,,,16930755,2047,CA3 Horizontal Axo-axonic SO,x29,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902620
jinno,,,,16930755,2049,CA3 QuadD-LM SO,x51,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902452
jinno,,,,16930755,2049,CA3 QuadD-LM SO,x51,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902466
jinno,,,,16930755,2049,CA3 QuadD-LM SO,x51,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902632
jinno,,,,16930755,2049,CA3 QuadD-LM SP,x52,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902470
jinno,,,,16930755,2049,CA3 QuadD-LM SP,x52,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902480
jinno,,,,16930755,2049,CA3 QuadD-LM SP,x52,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902650
jinno,,,,16930755,2049,CA3 QuadD-LM SL,x53,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902484
jinno,,,,16930755,2049,CA3 QuadD-LM SL,x53,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902498
jinno,,,,16930755,2049,CA3 QuadD-LM SL,x53,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902676
jinno,,,,16930755,2049,CA3 QuadD-LM SR,x54,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902502
jinno,,,,16930755,2049,CA3 QuadD-LM SR,x54,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902510
jinno,,,,16930755,2049,CA3 QuadD-LM SR,x54,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902684
jinno,,,,16930755,2402,CA3 Interneuron Specific Quad SP,x36,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902216
jinno,,,,16930755,2402,CA3 Interneuron Specific Quad SP,x36,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902296
jinno,,,,16930755,2402,CA3 Interneuron Specific Quad SP,x36,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902360
jinno,,,,16930755,2402,CA3 Interneuron Specific Quad SP,x36,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902474
jinno,,,,16930755,2402,CA3 Interneuron Specific Quad SP,x36,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902528
jinno,,,,16930755,2402,CA3 Interneuron Specific Quad SP,x36,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902536
jinno,,,,16930755,2402,CA3 Interneuron Specific Quad SP,x36,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902646
jinno,,,,16930755,3003,CA2 Bistratified SP,x62,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902130
jinno,,,,16930755,3003,CA2 Bistratified SP,x62,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902140
jinno,,,,16930755,3003,CA2 Bistratified SP,x62,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902304
jinno,,,,16930755,3003,CA2 Bistratified SP,x62,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902368
jinno,,,,16930755,3003,CA2 Bistratified SP,x62,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902656
jinno,,,,16930755,3006,CA2 Basket SP,x60,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902126
jinno,,,,16930755,3006,CA2 Basket SP,x60,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902136
jinno,,,,16930755,3006,CA2 Basket SP,x60,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902300
jinno,,,,16930755,3006,CA2 Basket SP,x60,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902364
jinno,,,,16930755,3006,CA2 Basket SP,x60,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902652
jinno,,,,16930755,3007,CA2 Wide-Arbor Basket SP,x61,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902128
jinno,,,,16930755,3007,CA2 Wide-Arbor Basket SP,x61,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902138
jinno,,,,16930755,3007,CA2 Wide-Arbor Basket SP,x61,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902302
jinno,,,,16930755,3007,CA2 Wide-Arbor Basket SP,x61,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902366
jinno,,,,16930755,3007,CA2 Wide-Arbor Basket SP,x61,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902654
jinno,,,,16930755,3008,CA2 SP-SR SP,x63,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902220
jinno,,,,16930755,3008,CA2 SP-SR SP,x63,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902258
jinno,,,,16930755,3008,CA2 SP-SR SP,x63,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902306
jinno,,,,16930755,3008,CA2 SP-SR SP,x63,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902370
jinno,,,,16930755,3008,CA2 SP-SR SP,x63,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902534
jinno,,,,16930755,3008,CA2 SP-SR SP,x63,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,902658
Jinno,,,,16930755,4003,SR Quadrilaminar,x119,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904456
Jinno,,,,16930755,4003,SR Quadrilaminar,x119,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904462
Jinno,,,,16930755,4003,SR Quadrilaminar,x119,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904530
Jinno,,,,16930755,4003,SR Quadrilaminar,x119,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904540
Jinno,,,,16930755,4003,SR Quadrilaminar,x119,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904680
Jinno,,,,16930755,4003,SR Quadrilaminar,x119,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904690
Jinno,,,,16930755,4003,SR Quadrilaminar,x119,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904868
Jinno,,,,16930755,4003,SR Quadrilaminar,x119,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904886
Jinno,,,,16930755,4003,SLM Quadrilaminar,x120,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904470
Jinno,,,,16930755,4003,SLM Quadrilaminar,x120,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904558
Jinno,,,,16930755,4003,SLM Quadrilaminar,x120,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904564
Jinno,,,,16930755,4003,SLM Quadrilaminar,x120,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904700
Jinno,,,,16930755,4003,SLM Quadrilaminar,x120,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904702
Jinno,,,,16930755,4003,SLM Quadrilaminar,x120,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904904
Jinno,,,,16930755,4003,SLM Quadrilaminar,x120,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904916
Jinno,,,,16930755,4004,SR LMR Projecting,x104,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904734
Jinno,,,,16930755,4004,SR LMR Projecting,x104,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904742
Jinno,,,,16930755,4004,SR LMR Projecting,x104,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904864
Jinno,,,,16930755,4004,SR LMR Projecting,x104,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904882
Jinno,,,,16930755,4004,SLM LMR Projecting,x105,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904754
Jinno,,,,16930755,4004,SLM LMR Projecting,x105,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904900
Jinno,,,,16930755,4004,SLM LMR Projecting,x105,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904912
Jinno,,,,16930755,4005,SR LMR,x102,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904526
Jinno,,,,16930755,4005,SR LMR,x102,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904536
Jinno,,,,16930755,4005,SR LMR,x102,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904620
Jinno,,,,16930755,4005,SR LMR,x102,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904634
Jinno,,,,16930755,4005,SR LMR,x102,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904802
Jinno,,,,16930755,4005,SR LMR,x102,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904810
Jinno,,,,16930755,4005,SR LMR,x102,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904862
Jinno,,,,16930755,4005,SR LMR,x102,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904880
Jinno,,,,16930755,4005,SR LMR,x102,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904950
Jinno,,,,16930755,4005,SLM LMR,x103,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904556
Jinno,,,,16930755,4005,SLM LMR,x103,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904562
Jinno,,,,16930755,4005,SLM LMR,x103,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904644
Jinno,,,,16930755,4005,SLM LMR,x103,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904824
Jinno,,,,16930755,4005,SLM LMR,x103,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904830
Jinno,,,,16930755,4005,SLM LMR,x103,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904898
Jinno,,,,16930755,4005,SLM LMR,x103,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904910
Jinno,,,,16930755,4005,SLM LMR,x103,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904960
Jinno,,,,16930755,4006,SR Perforant-Path Associated,x116,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904866
Jinno,,,,16930755,4006,SR Perforant-Path Associated,x116,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904884
Jinno,,,,16930755,4006,SLM Perforant-Path Associated,x117,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904902
Jinno,,,,16930755,4006,SLM Perforant-Path Associated,x117,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904914
Jinno,,,,16930755,4011,SLM Neurogliaform Projecting,x107,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904570
Jinno,,,,16930755,4011,SLM Neurogliaform Projecting,x107,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904706
Jinno,,,,16930755,4011,SLM Neurogliaform Projecting,x107,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904828
Jinno,,,,16930755,4011,SLM Neurogliaform Projecting,x107,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904834
Jinno,,,,16930755,4011,SLM Neurogliaform Projecting,x107,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904924
Jinno,,,,16930755,4011,SLM Neurogliaform Projecting,x107,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904964
Jinno,,,,16930755,4012,SLM Neurogliaform,x106,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904568
Jinno,,,,16930755,4012,SLM Neurogliaform,x106,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904704
Jinno,,,,16930755,4012,SLM Neurogliaform,x106,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904826
Jinno,,,,16930755,4012,SLM Neurogliaform,x106,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904832
Jinno,,,,16930755,4012,SLM Neurogliaform,x106,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904922
Jinno,,,,16930755,4012,SLM Neurogliaform,x106,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904962
Jinno,,,,16930755,4013,SP Radial Trilaminar,x131,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904450
Jinno,,,,16930755,4013,SP Radial Trilaminar,x131,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904790
Jinno,,,,16930755,4013,SP Radial Trilaminar,x131,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904796
Jinno,,,,16930755,4013,SP Radial Trilaminar,x131,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904848
Jinno,,,,16930755,4013,SP Radial Trilaminar,x131,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904852
Jinno,,,,16930755,4013,SR Radial Trilaminar,x132,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904468
Jinno,,,,16930755,4013,SR Radial Trilaminar,x132,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904806
Jinno,,,,16930755,4013,SR Radial Trilaminar,x132,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904814
Jinno,,,,16930755,4013,SR Radial Trilaminar,x132,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904876
Jinno,,,,16930755,4013,SR Radial Trilaminar,x132,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904894
Jinno,,,,16930755,4015,SR Schaffer Collateral-Associated,x124,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904738
Jinno,,,,16930755,4015,SR Schaffer Collateral-Associated,x124,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904746
Jinno,,,,16930755,4015,SR Schaffer Collateral-Associated,x124,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904874
Jinno,,,,16930755,4015,SR Schaffer Collateral-Associated,x124,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904892
Jinno,,,,16930755,4015,SLM Schaffer Collateral-Associated,x125,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904758
Jinno,,,,16930755,4015,SLM Schaffer Collateral-Associated,x125,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904908
Jinno,,,,16930755,4015,SLM Schaffer Collateral-Associated,x125,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904920
Jinno,,,,16930755,4020,SP IS O-Targeting,x94,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904520
Jinno,,,,16930755,4020,SP IS O-Targeting,x94,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904592
Jinno,,,,16930755,4020,SP IS O-Targeting,x94,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904600
Jinno,,,,16930755,4020,SP IS O-Targeting,x94,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904654
Jinno,,,,16930755,4020,SP IS O-Targeting,x94,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904662
Jinno,,,,16930755,4020,SR IS O-Targeting,x95,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904548
Jinno,,,,16930755,4020,SR IS O-Targeting,x95,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904616
Jinno,,,,16930755,4020,SR IS O-Targeting,x95,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904630
Jinno,,,,16930755,4020,SR IS O-Targeting,x95,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904674
Jinno,,,,16930755,4020,SR IS O-Targeting,x95,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904686
Jinno,,,,16930755,4021,SR IS LM-R,x89,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904612
Jinno,,,,16930755,4021,SR IS LM-R,x89,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904626
Jinno,,,,16930755,4021,SLM IS LM-R,x90,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904642
Jinno,,,,16930755,4022,SP IS LMO-O,x87,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904516
Jinno,,,,16930755,4022,SP IS LMO-O,x87,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904584
Jinno,,,,16930755,4022,SP IS LMO-O,x87,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904596
Jinno,,,,16930755,4022,SP IS LMO-O,x87,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904652
Jinno,,,,16930755,4022,SP IS LMO-O,x87,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904660
Jinno,,,,16930755,4022,SR IS LMO-O,x88,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904544
Jinno,,,,16930755,4022,SR IS LMO-O,x88,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904610
Jinno,,,,16930755,4022,SR IS LMO-O,x88,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904624
Jinno,,,,16930755,4022,SR IS LMO-O,x88,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904672
Jinno,,,,16930755,4022,SR IS LMO-O,x88,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904684
Jinno,,,,16930755,4023,SO Back-Projection,x77,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904472
Jinno,,,,16930755,4023,SO Back-Projection,x77,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904490
Jinno,,,,16930755,4023,SO Back-Projection,x77,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904760
Jinno,,,,16930755,4023,SO Back-Projection,x77,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904772
Jinno,,,,16930755,4023,SO Back-Projection,x77,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904926
Jinno,,,,16930755,4023,SO Back-Projection,x77,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904930
Jinno,,,,16930755,4028,SR Radiatum,x121,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904532
Jinno,,,,16930755,4028,SR Radiatum,x121,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904542
Jinno,,,,16930755,4028,SR Radiatum,x121,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904736
Jinno,,,,16930755,4028,SR Radiatum,x121,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904744
Jinno,,,,16930755,4028,SR Radiatum,x121,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904816
Jinno,,,,16930755,4028,SR Radiatum,x121,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904870
Jinno,,,,16930755,4028,SR Radiatum,x121,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904888
Jinno,,,,16930755,4028,SR Radiatum,x121,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904952
Jinno,,,,16930755,4028,SLM Radiatum,x122,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904560
Jinno,,,,16930755,4028,SLM Radiatum,x122,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904566
Jinno,,,,16930755,4028,SLM Radiatum,x122,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904756
Jinno,,,,16930755,4028,SLM Radiatum,x122,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904836
Jinno,,,,16930755,4028,SLM Radiatum,x122,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904906
Jinno,,,,16930755,4028,SLM Radiatum,x122,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904918
Jinno,,,,16930755,4028,SLM Radiatum,x122,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904966
Jinno,,,,16930755,4031,SO IS O-R,x93,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904646
Jinno,,,,16930755,4033,SO SO-SO,x128,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904714
Jinno,,,,16930755,4033,SO SO-SO,x128,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904722
Jinno,,,,16930755,4033,SO SO-SO,x128,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904770
Jinno,,,,16930755,4033,SO SO-SO,x128,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904782
Jinno,,,,16930755,4035,SO Trilaminar,x130,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904488
Jinno,,,,16930755,4035,SO Trilaminar,x130,Jinno-Kosaka-2006-229-v56-NeurosciRes-Tab4.jpeg,904506
