Original Spreadsheet Row,Subregion,Cell type name,Unique ID,PMID,Species,Method,Raw temperature,Room/body temperature,Vrest,Vrest_Rep Value?,Vrest_> Value?,Vrest_Statistics String,Vrest_Statistical Method,Vrest_n,Vrest_Page Location,Vrest_Notes,Vrest_Orig ID,Rin,Rin_Rep Value?,Rin_> Value?,Rin_Statistics String,Rin_Statistical Method,Rin_n,Rin_Page Location,Rin_Notes,Rin_Orig ID,tau,tau_Rep Value?,tau_> Value?,tau_Statistics String,tau_Statistical Method,tau_n,tau_Page Location,tau_Notes,tau_Orig ID,Vthresh,Vthresh_Rep Value?,Vthresh_> Value?,Vthresh_Statistics String,Vthresh_Statistical Method,Vthresh_n,Vthresh_Page Location,Vthresh_Notes,Vthresh_Orig ID,Fast AHP,Fast AHP_Rep Value?,Fast AHP_> Value?,Fast AHP_Statistics String,Fast AHP_Statistical Method,Fast AHP_n,Fast AHP_Page Location,Fast AHP_Notes,Fast AHP_Orig ID,AP ampl,AP ampl_Rep Value?,AP ampl_> Value?,AP ampl_Statistics String,AP ampl_Statistical Method,AP ampl_n,AP ampl_Page Location,AP ampl_Notes,AP ampl_Orig ID,AP width,AP width_Rep Value?,AP width_> Value?,AP width_Statistics String,AP width_Statistical Method,AP width_n,AP width_Page Location,AP width_Notes,AP width_Orig ID,Max F.R.,Max F.R._Rep Value?,Max F.R._> Value?,Max F.R._Statistics String,Max F.R._Statistical Method,Max F.R._n,Max F.R._i stim,Max F.R._t stim,Max F.R._Page Location,Max F.R._Notes,Max F.R._Orig ID,Slow AHP,Slow AHP_Rep Value?,Slow AHP_> Value?,Slow AHP_Statistics String,Slow AHP_Statistical Method,Slow AHP_n,Slow AHP_i stim,Slow AHP_t stim,Slow AHP_Page Location,Slow AHP_Notes,Slow AHP_Orig ID,Sag ratio,Sag ratio_Rep Value?,Sag ratio_> Value?,Sag ratio_Statistics String,Sag ratio_Statistical Method,Sag ratio_n,Sag ratio_i stim,Sag ratio_Page Location,Sag ratio_Notes,Sag ratio_Orig ID,Direct Link Ref ID,Indirect Link PMID,Indirect Link pg num,Indirect Link quote,Other Link PMID,Other Link pg num,Other Link quote,,,,,,,,,,
155,CA1,CA1 Recurrent O-LM (i)1003,4089,9490837,r,e,34.5,b,-75,(*),,[-85_-65],Range,2,p.189;  top;  right,,4.08901E+14,70,(*),,ÃÂ±13.72,SDEV,8,p.189;  top;  right,,4.08902E+14,12.8,(*),,ÃÂ±1.5,SDEV,8,p.189;  top;  right,,4.08903E+14,25,(*),,,SingVal,1,Fig2A,,4.08904E+14,16.1,(*),,ÃÂ±10.7,SDEV,8,p.189;  top;  left,,4.08905E+14,58.75,(*),,ÃÂ±7.2,SDEV,8,p.189;  top;  left,,4.08906E+14,0.6,(*),,ÃÂ±0.3,SDEV,8,p.189;  top;  left,,4.08907E+14,150,(*),1,,SingVal,1,800,566,Fig2A,,4.08908E+14,5,(*),,,SingVal,1,800,566,Fig2A,,4.08909E+14,0.62,(*),,,SingVal,1,-1000,Fig2A,,4.0891E+14,612737,,,,,,,,,,,,,,,,
156,CA1,CA1 O-LM (i)1002,4069,978-0-19-510027-3 ,?,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,SingVal,1,X,995,Fig24A,,4069097-312401,,,,,,,,,,,60270,,,,,,,,,,,,,,,,
157,CA1,CA1 O-LM (i)1002,4069,7472426,r,e,37,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,SingVal,1,Fig5C,,4.06904E+14,16,,,,SingVal,1,Fig5C,,4.06905E+14,54,,,,SingVal,1,Fig5C,,4.06906E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,(*),,,SingVal,1,-1200,Fig5C,,4.0691E+14,,,,,,,,,,,,,,,,,
158,CA1,CA1 O-LM (i)1002,4069,10634782,r,p,23.5,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,(*),,,SingVal,1,Fig3A;  top middle,,4.06904E+14,20.4,(*),,,SingVal,1,Fig3A;  top middle,,4.06905E+14,81.8,(*),,,SingVal,1,Fig3A;  top middle,,4.06906E+14,0.88,(*),,,SingVal,1,Fig3A;  bottom right,,4.06907E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10634782,"p.296, Fig. 1C"," Fig. 1. Interneuron dendrites
are the sites of synaptic input
and axonal output. ...(C) Camera
lucida reconstruction of a
biocytin-ÃÂlled oriens-alveus interneuron.
Axon, red; soma and
dendrites, black. Str. l.-m., stratum
lacunosum-moleculare;
str. rad., stratum radiatum; str.
pyr., stratum pyramidale; str.
ori., stratum oriens. ",,,,,,,,,,
159,CA1,CA1 O-LM (i)1002,4069,21795545,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612614,,,,,,,,,,,,,,,,
160,CA1,CA1 Bistratified (i)0333,4080,11807843,r,e,35,b,-64,(**),,,SingVal,1,Fig5G,,4.08002E+14,,,,,,,,,,,,,,,,,,,17,(**),,,SingVal,1,Fig5G (0.4 nA),,4.08005E+14,13,(**),,,SingVal,1,Fig5G (0.4 nA),,4.08006E+14,53,(**),,,SingVal,1,Fig5G (0.4 nA),,4.08007E+14,,,,,,,,,,,,,,,,,,,,,3,(**),,,SingVal,1,400,410,Fig5G (0.4 nA),,4.0801E+14,,,,,,,,,,,611328,,,,,,,,,,,,,,,,
161,CA1,CA1 Bistratified (i)0333,4080,11807843,r,e,35,b,-65,(**),,,SingVal,1,Fig5B,,4.08002E+14,,,,,,,,,,,,,,,,,,,27,(**),,,SingVal,1,Fig5B,,4.08005E+14,12,(**),,,SingVal,1,Fig5B,,4.08006E+14,50,(**),,,SingVal,1,Fig5B,,4.08007E+14,,,,,,,,,,,,,,,,,,,,,2.5,(**),,,SingVal,1,380,600,Fig5B (0.6 nA),,4.0801E+14,,,,,,,,,,,611330,,,,,,,,,,,,,,,,
162,CA1,CA1 Ivy (i)0333,4081,18367092,r,e;p,34.5,b,-71,(*),,,SingVal,1,Fig6B,,4.08102E+14,72.8,(*),,ÃÂ±53.6,SDEV,5,Tab2;  ivy cells,,4.08103E+14,7.6,(*),,ÃÂ±4.1,SDEV,5,Tab2;  ivy cells,,4.08104E+14,30.1,(*),,,SingVal,1,Fig6B,,4.08105E+14,13.6,(*),,ÃÂ±3.8,SDEV,5,Tab2;  ivy cells,,4.08106E+14,44,(*),,,SingVal,1,Fig6B,,4.08107E+14,0.8,(*),,ÃÂ±0.2,SDEV,5,Tab2;  ivy cells,,4.08108E+14,,,,,,,,,,,,3,(*),,,SingVal,1,800,217,Fig6B,,4.0811E+14,0.98,(*),,,SingVal,1,-400,Fig6B,,4.08111E+14,611139,,,,,,,,,,,,,,,,
163,CA1,SCR R-Targeting (i)0322,4084,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,CA1,CA1 Hipp-SUB Proj ENK+ (i)0313p,4041,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,CA1,CA1 Radiatum (i)0300,4028,11807843,r,e,35,b,-70,(**),,,SingVal,1,Fig10B,,4.02802E+14,79.2,(**),,,SingVal,1,Fig10B,,4.02803E+14,10,(**),,,SingVal,1,Fig10B,,4.02804E+14,15,(**),,,SingVal,1,Fig10B,,4.02805E+14,12,(**),,,SingVal,1,Fig10B,,4.02806E+14,73.5,(**),,,SingVal,1,Fig10B,,4.02807E+14,,,,,,,,,,,,,,,,,,,,,4.2,(**),,,SingVal,1,200,365,Fig10B,,4.0281E+14,0.88,(**),,,SingVal,1,-80,Fig10B,,4.02811E+14,611342,,,,,,,,,,,,,,,,
166,CA1,CA1 Radiatum (i)0300,4028,11807843,r,e,35,b,-65,(**),,,SingVal,1,Fig11G,,4.02802E+14,,,,,,,,,,,,,,,,,,,19.35,(**),,[17.2_21.5],Range,2,Fig11G;  top,,4.02805E+14,16.3,(**),,[14.4_18.2],Range,2,Fig11G;  top,,4.02806E+14,68.4,(**),,[64.6_72.2],Range,2,Fig11G;  top,,4.02807E+14,,,,,,,,,,,,,,,,,,,,,8,(**),,,SingVal,1,375,800,Fig11G;  bottom,,4.0281E+14,0.48,(**),,,SingVal,1,-600,Fig11G;  top,,4.02811E+14,611342,,,,,,,,,,,,,,,,
167,CA1,CA1 Radiatum (i)0300,4028,9503336,r,e,35,b,-55.8,(**),,ÃÂ±2.8,SDEV,10,Tab1;  p.759; Schaffer-associated,,4.02801E+14,96.3,(**),,ÃÂ±36.0,SDEV,10,Tab1;  p.759; Schaffer-associated,,4.02802E+14,16.2,(**),,ÃÂ±8.9,SDEV,10,Tab1;  p.759; Schaffer-associated,,4.02803E+14,14.8,(**),,,SingVal,1,Fig3Ba;  Schaffer-associated,,4.02804E+14,13.6,(**),,,SingVal,1,Fig3Ba;  Schaffer-associated,,4.02805E+14,52,(**),,,SingVal,1,Fig3Ba;  Schaffer-associated,,4.02806E+14,,,,,,,,,,,,,,,,,,,,,4,(**),,,SingVal,1,300,200,Fig3Ba;  Schaffer-associated,,4.02809E+14,,,,,,,,,,,611514,,,,,,,,,,,,,,,,
168,CA1,CA1 IS R-O (i)0221,4091,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,CA1,CA1 IS RO-O (i)0203,4093,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,CA1,CA1 Trilaminar (i)0113p,4035,21795545,m,p,33,b,-64,(*),,ÃÂ±7,SDEV,23,Tab3;  cluster 2,,4.03502E+14,216,(*),,ÃÂ±124,SDEV,23,Tab3;  cluster 2,,4.03503E+14,46,(*),,ÃÂ±18,SDEV,23,Tab3;  cluster 2,,4.03504E+14,27,(*),,,SingVal,1,Tab3;  cluster 2;  2nd AP," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",4.03505E+14,22,(*),,ÃÂ±3,SDEV,23,Tab3;  cluster 2;  2nd AHP,,4.03506E+14,61,(*),,ÃÂ±7,SDEV,23,Tab3;  cluster 2;  2nd AP,,4.03507E+14,0.77,(*),,ÃÂ±0.12,SDEV,23,Tab3;  cluster 2;  2nd AP,,4.03508E+14,130,(*),1,,SingVal,1,X,X,Fig7G,,4.03509E+14,4.7,(*),,,SingVal,1,47,762,Fig7G,,4.0351E+14,0.79,(*),,,SingVal,1,-90,Fig7G,,4.03511E+14,,,,,21795545,"p.10959, Fig. 7G","Figure 7.
Representative MGE-derived hippocampal interneurons. AK, Neurolucida reconstructions of GFP+ interneurons recorded in slices from P15P30 Nkx2-1Cre:RCE pups (dendrites and soma in black; axon in red). Scale bar: 100 m. The dashed lines indicate the approximate boundaries of s.o., s.p., s.r., and s.l.m. ",,,,,,,,,,
171,CA1,CA1 Trilaminar (i)0113p,4035,7472426,r,e,37,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,SingVal,1,Fig.8 F,,4.03504E+14,12.8,,,,SingVal,1,Fig.8 F,,4.03505E+14,46,,,,SingVal,1,Fig.8 F,,4.03506E+14,,,,,,,,,,,,,,,,,,,,,3,,,,SingVal,1,400,200,Fig.8 F,,4.03509E+14,0.59,,,,SingVal,1,-800,Fig.8 F,,4.0351E+14,,,,,7472426,"p.6660, Fig.7A"," Figure 7. Trilaminar interneuron (M96). A, Reconstruction of the axon collaterals and dendrites of the interneuron. Axon collaterals from all
sections were collapsed into a two-dimensional display. o, stratum oriens; p, CA1 pyramidal layer; r, stratum radiatum; j hippocampal fissure.
Some collaterals falsely appear in the stratum lacunosum-moleculare because of the two-dimensional projection of curving layer boundaries. ",,,,,,,,,,
172,CA1,CA1 Oriens-Bistratified (i)0103,4083,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,CA1,CA1 IS O-R (i)0102,4031,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,CA1,CA1 Horizontal BC (i)0012,4039,20421280,r,p,35.5,b,-55.4,(*),,ÃÂ±9.5,SDEV,17,p.2117;  right,,4.03901E+14,157.5,(*),,[116_199],Range,2,Tab1;  O-R,,4.03902E+14,20.45,(*),,[15.4_25.5],Range,2,Tab1;  O-R,,4.03903E+14,24,(*),,,SingVal,1,Fig1B;  O-R,,4.03904E+14,11,(*),,,SingVal,1,Fig1B;  O-R,,4.03905E+14,71.39,(*),,,SingVal,1,Fig1B;  O-R,,4.03906E+14,,,,,,,,,,,,,,,,,,,,,5.3,(*),,,SingVal,1,200,850,Fig1B;  O-R,,4.03909E+14,0.47,(*),,,SingVal,1,-200,Fig1B;  O-R,,4.0391E+14,611632,,,,,,,,,,,,,,,,
175,CA1,CA1 Horizontal BC (i)0012,4039,21795545,m,p,33,b,-54,,,ÃÂ±6,SDEV,18,Tab3;  cluster 6,,4.03902E+14,219,,,ÃÂ±98,SDEV,18,Tab3;  cluster 6,,4.03903E+14,22,,,ÃÂ±9,SDEV,18,Tab3;  cluster 6,,4.03904E+14,15,,,,SingVal,1,Fig8A,,4.03905E+14,9,,,,SingVal,1,Fig8A,,4.03906E+14,60,,,ÃÂ±7,SDEV,18,Tab3;  cluster 6;  second spike,,4.03907E+14,0.77,(*),,ÃÂ±0.10,SDEV,18,Tab3;  cluster 6;  second spike,,4.03908E+14,50,(*),1,,SingVal,1,51,765,Fig8A,,4.03909E+14,4.8,,,,SingVal,1,51,765,Fig8A,,4.0391E+14,0.69,,,,SingVal,1,-102,Fig8A,,4.03911E+14,,,,,21795545,"p.10960, Fig. 8A","Figure 8.
Representative CGE-derived hippocampal interneurons. AK, Neurolucida reconstructions of GFP+ interneurons recorded in slices from P15P30 GAD65-GFP pups (dendrites and soma in black; axon in red). Scale bar: 100 m. The dashed lines indicate the approximate boundaries of strata oriens (s.o.), pyramidale (s.p.), radiatum (s.r.), lacunosum moleculare (s.l.m.), and lucidum (s.lu.).",,,,,,,,,,
176,CA1,CA1 Horizontal AA (i)0012,4038,15098728,r,p,22,r,,,,,,,,,,219,(*),,[186_252],Range,2,Tab1,,4.03803E+14,24,(*),,[16_32],Range,2,Tab1,,4.03804E+14,,,,,,,,,,9.85,(*),,[6.0_13.7],Range,2,Tab1,,4.03806E+14,80.8,(*),,[71.4_90.2],Range,2,Tab1,,4.03807E+14,0.9,(*),,[0.7_1.1],Range,2,Tab1,,4.03808E+14,87,(*),,,SingVal,1,200,163,Fig2D,,4.03809E+14,,,,,,,,,,,,,,,,,,,,,,612126,,,,,,,,,,,,,,,,
177,CA1,CA1 Horizontal AA (i)0012,4038,21795545,m,p,33,b,-57,(*),,ÃÂ±5,SDEV,15,Tab3;  cluster 1,,4.03802E+14,,,,,,,,,,,,,,,,,,,25,(*),,,SingVal,1,Tab3;  cluster 1," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",4.03805E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,(*),,,SingVal,1,170,763,Fig7D,,4.0381E+14,0.74,(*),,,SingVal,1,-82,Fig7D,,4.03811E+14,,,,,21795545,"p.10959, Fig. 7D","Figure 7.
Representative MGE-derived hippocampal interneurons. AK, Neurolucida reconstructions of GFP+ interneurons recorded in slices from P15P30 Nkx2-1Cre:RCE pups (dendrites and soma in black; axon in red). Scale bar: 100 m. The dashed lines indicate the approximate boundaries of s.o., s.p., s.r., and s.l.m. ",,,,,,,,,,
178,CA1,CA1 SO-SO (i)0003,4033,11807843,r,e,35,b,-78,,,,SingVal,1,Fig8E;  bottom,,4.03302E+14,,,,,,,,,,,,,,,,,,,28.55,,,[23.6_33.5],Range,2,Fig8E,,4.03305E+14,11,,,[7.3_14.7],Range,2,Fig8E,,4.03306E+14,68.55,,,[58.2_78.9],Range,2,Fig8E,,4.03307E+14,,,,,,,,,,,,,,,,,,,,,3,,,,SingVal,1,375,400,Fig8E;  bottom,,4.0331E+14,0.89,,,,SingVal,1,-400,Fig8E;  bottom,,4.03311E+14,611339,,,,,,,,,,,,,,,,
179,CA1,CA1 SO-SO (i)0003,4033,21795545,m,p,33,b,-59,(*),,ÃÂ±10,SDEV,19,Tab3;  cluster 5,,4.03302E+14,401,(*),,ÃÂ±212,SDEV,19,Tab3;  cluster 5,,4.03303E+14,38,(*),,ÃÂ±13,SDEV,19,Tab3;  cluster 5,,4.03304E+14,24,(*),,,SingVal,1,Tab3;  cluster 5," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",4.03305E+14,15,(*),,ÃÂ±4,SDEV,19,Tab3;  cluster 5;  2nd AHP,,4.03306E+14,48,(*),,ÃÂ±10,SDEV,19,Tab3;  cluster 5;  2nd AP,,4.03307E+14,1.12,(*),,ÃÂ±0.14,SDEV,19,Tab3;  cluster 5;  2nd AP,,4.03308E+14,160,(*),1,,SingVal,1,154,768,Fig8K,,4.03309E+14,4.8,(*),,,SingVal,1,154,768,Fig8K,,4.0331E+14,0.69,(*),,,SingVal,1,-200,Fig8K,,4.03311E+14,,,,,21795545,"p.10960, Fig. 8K","Figure 8.
Representative CGE-derived hippocampal interneurons. AK, Neurolucida reconstructions of GFP+ interneurons recorded in slices from P15P30 GAD65-GFP pups (dendrites and soma in black; axon in red). Scale bar: 100 m. The dashed lines indicate the approximate boundaries of strata oriens (s.o.), pyramidale (s.p.), radiatum (s.r.), lacunosum moleculare (s.l.m.), and lucidum (s.lu.).",,,,,,,,,,
182,SUB,SUB EC-Proj Pyramidal (e)331p,5001,11406829,r,e,35.5,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,(*),,,SingVal,1,Fig4,,5.00105E+14,,,,,,,,,,92,(*),,,SingVal,1,Fig4,,5.00107E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610062,,,,,,,,,,,,,,,,
183,SUB,SUB CA1-Proj Pyramidal (e)331p,5005,15700275,r,p,32,b,-60,(*),,,SingVal,1,Fig1C;  control RS,,5.00501E+14,150,(*),,[140_160],Range,2,Fig1C;  control RS,,5.00502E+14,,,,,,,,,,11,(*),,,SingVal,1,Fig1A;  control RS,,5.00504E+14,8,(*),,,SingVal,1,Fig1A;  control RS,,5.00505E+14,41,(*),,,SingVal,1,Fig1A;  control RS,,5.00506E+14,,,,,,,,,,,,,,,,,,,,,2,(*),,,SingVal,1,X,800,Fig1A;  control HTB,,5.00509E+14,,,,,,,,,,,,,,,15700275,"p.478  Cells chosen for recordings had a pronounced main apical dendrite perpendicular to the alveus and at least two basal dendrites. The typical shape of pyramidal neurons was conrmed in all reconstructed biocytin-lled cells. """"",,,,,,,,,,,
184,SUB,SUB Axo-Axonic (e)210,5002,None given,None given,None given,None given,None given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,EC,LII-III Pyramidal-Tripolar (e)333000p,6082,22161956,r,p,34,b,-60.5,(**),,[-62_-59],Range,2,Fig7C,,6.08201E+14,400,(**),,ÃÂ±0,SEM,96,Fig3A;  Layer II,,6.08202E+14,16,(**),,ÃÂ±0,SEM,96,Fig3B;  Layer II,,6.08203E+14,7.95,(**),,[7.5_8.4],Range,2,Fig7C1,,6.08204E+14,7.2,(**),,[7.1_7.3],Range,2,Fig7C1,,6.08205E+14,69,(**),,ÃÂ±2,SEM,96,Fig6B;  Layer II;  2nd AP,,6.08206E+14,1.25,(**),,ÃÂ±0.05,SEM,96,Fig4D;  Layer II,,6.08207E+14,40,(*),1,,SingVal,1,200,X,Fig5B;  layer II,,6.08208E+14,3,(**),,[0_6],Range,2,200,1000,Fig7C2; C6,,6.08209E+14,0.66,(**),,ÃÂ±0.005,SEM,96,X,Fig3C;  Layer II,,6.0821E+14,611544,,,,,,,,,,,,,,,,
192,EC,LII-III Pyramidal-Tripolar (e)333000p,6082,22162008,r,p,34,b,-63,(**),,[-70_-56],Range,2,Fig7C,,6.08201E+14,430,(**),,ÃÂ±20,SEM,37,Fig3A;  Layer II,,6.08202E+14,25,(**),,ÃÂ±2.5,SEM,37,Fig3B;  Layer II,,6.08203E+14,15.6,(**),,[8.1_23.1],Range,2,Fig7C1;  C4,,6.08204E+14,5.5,(**),,[3.7_7.3],Range,2,Fig7C1;  C4,,6.08205E+14,77.5,(**),,ÃÂ±2.5,SEM,37,Fig6B;  Layer II;  2nd AP,,6.08206E+14,1.22,(**),,ÃÂ±0.06,SEM,37,Fig4D;  Layer II,,6.08207E+14,,,,,,,,,,,,4.7,(**),,,SingVal,1,200,1000,Fig7C5,,6.08209E+14,0.78,(**),,,SingVal,37,X,Fig3C;  Layer II,,6.0821E+14,611958,,,,,,,,,,,,,,,,
195,EC,MEC LV Pyramidal (e)331131p,6002,11168548,r,p,34,b,-61.8,(**),,ÃÂ±1.4,SEM,17,p.416;  left,,6.00202E+14,333.4,(**),,ÃÂ±20.2,SEM,17,p.416;  left,,6.00203E+14,25.6,(**),,ÃÂ±1.7,SEM,17,p.416;  left,,6.00204E+14,10,(**),,,SingVal,1,Fig3C,,6.00205E+14,11.6,(**),,,SingVal,1,Fig3C,,6.00206E+14,75,(**),,,SingVal,1,Fig3C,,6.00207E+14,1.41,(**),,ÃÂ±0.1,SEM,17,p.416;  left,,6.00208E+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612144,,,,,,,,,,,,,,,,
196,EC,MEC LV Pyramidal (e)331131p,6002,22161956,r,p,34,b,-66.5,(**),,[-64_-69],Range,2,Fig10C,,6.00201E+14,605,(**),,,SingVal,72,Fig3A;  Layer V,,6.00202E+14,37,(**),,ÃÂ±2,SEM,72,Fig3B;  Layer V,,6.00203E+14,28.7,(**),,,SingVal,1,Fig10C1,,6.00204E+14,7.75,(**),,,SingVal,1,Fig10C1,,6.00205E+14,61,(**),,ÃÂ±0,SEM,72,Fig6D; Layer V;  2nd AP,,6.00206E+14,1.8,(**),,ÃÂ±0,SEM,72,Fig4D; Layer V,,6.00207E+14,,,,,,,,,,,,0,(*),,,SingVal,1,X,X,Fig10C2; C6,,6.00209E+14,0.86,(*),,ÃÂ±0,SEM,72,X,Fig3CD;  Layer V,,6.0021E+14,611560,,,,,,,,,,,,,,,,
197,EC,MEC LII Stellate (e)331111p,6003,22161956,r,p,34,b,-60.5,(*),,[-62_-59],Range,2,Fig7C,,6.00301E+14,400,,,ÃÂ±10,SEM,96,Fig3A;  Layer II,,6.00302E+14,16,,,ÃÂ±0,SEM,96,Fig3B;  Layer II,,6.00303E+14,7.95,(*),,[7.5_8.4],Range,2,Fig7C1,,6.00304E+14,7.2,(*),,[7.1_7.3],Range,2,Fig7C1,,6.00305E+14,69,(*),,ÃÂ±2,SEM,96,Fig6B;  Layer II;  2nd AP,,6.00306E+14,1.25,(*),,ÃÂ±0.05,SEM,96,Fig4D;  Layer II,,6.00307E+14,40,(*),1,,SingVal,1,200,X,Fig5B;  layer II,,6.00308E+14,3,(*),,[0_6],Range,2,200,1000,Fig7C2; C6,,6.00309E+14,0.66,,,ÃÂ±0.005,SEM,96,X,Fig3C;  Layer II,,6.0031E+14,611544,,,,,,,,,,,,,,,,
198,EC,MEC LII Stellate (e)331111p,6003,7842056,r,e,34,b,-70.8,,,ÃÂ±5.4,SDEV,112,Tab1;  Type I,,6.00301E+14,30.2,(***),,ÃÂ±12.5,SDEV,112,Tab1;  Type I,,6.00302E+14,8.9,(***),,ÃÂ±1.9,SDEV,112,Tab1;  Type I,,6.00303E+14,16.8,,,,SingVal,1,Tab1;  Type I," in hippocampome.org, the Vthesh is defined as a potential relative to the resting potential ",6.00304E+14,8,,,,SingVal,1,Fig1A,,6.00305E+14,73.7,,,,SingVal,1,Tab1;  Type I,"in hippocampome.org, the AP amplitude is defined as the peak relative to the threshold potential",6.00306E+14,0.73,,,ÃÂ±0.2,SDEV,112,Tab1;  Type I,,6.00307E+14,,,,,,,,,,,,,,,,,,,,,,,0.79,(*),,,SingVal,1,600,Fig1A,,6.0031E+14,611249,,,,,,,,,,,,,,,,
199,EC,LI-II Pyramidal-Fan (e)331000p,6005,22162008,r,p,34,b,-56.5,(**),,[-63_-50],Range,2,Fig2C,,6.00501E+14,430,(**),,,SingVal,1,Fig3A;  Layer I,,6.00502E+14,27,(**),,,SingVal,1,Fig3B;  Layer I,,6.00503E+14,17.75,(**),,[8.5_27],Range,2,Fig2C,,6.00504E+14,11.5,(**),,[11_12],Range,2,Fig2C,,6.00505E+14,80,(**),,,SingVal,1,Fig6A;  Layer I;  2nd AP,,6.00506E+14,1.05,(**),,,SingVal,1,Fig4D;  Layer I,,6.00507E+14,90,(**),1,,SingVal,1,200,X,Fig2C2;  Layer I,,6.00508E+14,6.7,(**),,,SingVal,1,200,1000,Fig2C2;  Layer I,,6.00509E+14,0.71,(*),,,SingVal,1,-200,Fig2C2;  Layer I,,6.0051E+14,611940,,,,,,,,,,,,,,,,
200,EC,LI-II Pyramidal-Fan (e)331000p,6005,22161956,r,p,34,b,-60.5,(**),,[-62_-59],Range,2,Fig7C,,6.00501E+14,400,(**),,ÃÂ±10,SEM,96,Fig3A;  Layer II,,6.00502E+14,16,(**),,ÃÂ±0,SEM,96,Fig3B;  Layer II,,6.00503E+14,7.95,(**),,[7.5_8.4],Range,2,Fig7C1,,6.00504E+14,7.2,(**),,[7.1_7.3],Range,2,Fig7C1,,6.00505E+14,69,(**),,ÃÂ±2,SEM,96,Fig6B;  Layer II;  2nd AP,,6.00506E+14,1.25,(**),,ÃÂ±0.05,SEM,96,Fig4D;  Layer II,,6.00507E+14,40,(**),1,,SingVal,1,200,X,Fig5B;  layer II,,6.00508E+14,3,(**),,[0_6],Range,2,200,1000,Fig7C2; C6,,6.00509E+14,0.66,,,ÃÂ±0.005,SEM,96,X,Fig3C;  Layer II,,6.0051E+14,611544,,,,,,,,,,,,,,,,
